STA,Date,Precip,WindGustSpd,MaxTemp,MinTemp,MeanTemp,Snowfall,PoorWeather,YR,MO,DA,PRCP,DR,SPD,MAX,MIN,MEA,SNF,SND,FT,FB,FTI,ITH,PGT,TSHDSBRSGF,SD3,RHX,RHN,RVG,WTE
43201,1945-10-01,8.636,,17.22222222,12.77777778,15,0,1,45,10,1,0.34,,,63,55,59,0,,,,,,,,,,,,
43201,1945-10-02,66.04,,15.55555556,13.33333333,14.44444444,0,1,45,10,2,2.6,,,60,56,58,0,,,,,,,,,,,,
43201,1945-10-03,5.334,,17.77777778,10.55555556,14.44444444,0,1,45,10,3,0.21,,,64,51,58,0,,,,,,,,,,,,
43201,1945-10-04,0,,21.11111111,7.222222222,14.44444444,0,,45,10,4,0,,,70,45,58,0,,,,,,,,,,,,
43201,1945-10-05,0,,23.33333333,9.444444444,16.66666667,0,,45,10,5,0,,,74,49,62,0,,,,,,,,,,,,
43201,1945-10-06,0,,22.22222222,11.66666667,16.66666667,0,,45,10,6,0,,,72,53,62,0,,,,,,,,,,,,
43201,1945-10-07,T,,23.88888889,14.44444444,18.88888889,0,1,45,10,7,T,,,75,58,66,0,,,,,,,,,,,,
43201,1945-10-08,0,,20.55555556,10,15.55555556,0,,45,10,8,0,,,69,50,60,0,,,,,,,,,,,,
43201,1945-10-09,0,,21.11111111,8.333333333,14.44444444,0,,45,10,9,0,,,70,47,58,0,,,,,,,,,,,,
43201,1945-10-10,0,,17.77777778,8.888888889,13.33333333,0,,45,10,10,0,,,64,48,56,0,,,,,,,,,,,,
43201,1945-10-11,T,,15,10.55555556,12.77777778,0,1,45,10,11,T,,,59,51,55,0,,,,,,,,,,,,
43201,1945-10-12,0,,18.33333333,5,11.66666667,0,,45,10,12,0,,,65,41,53,0,,,,,,,,,,,,
43201,1945-10-13,0,,20,10,15,0,,45,10,13,0,,,68,50,59,0,,,,,,,,,,,,
43201,1945-10-14,0,,20,5,12.22222222,0,,45,10,14,0,,,68,41,54,0,,,,,,,,,,,,
43201,1945-10-15,0,,21.11111111,8.333333333,14.44444444,0,,45,10,15,0,,,70,47,58,0,,,,,,,,,,,,
43201,1945-10-16,0,,22.22222222,11.11111111,16.66666667,0,,45,10,16,0,,,72,52,62,0,,,,,,,,,,,,
43201,1945-10-17,0,,21.66666667,9.444444444,15.55555556,0,,45,10,17,0,,,71,49,60,0,,,,,,,,,,,,
43201,1945-10-18,0,,20,10.55555556,15.55555556,0,,45,10,18,0,,,68,51,60,0,,,,,,,,,,,,
43201,1945-10-19,T,,19.44444444,7.777777778,13.33333333,0,1,45,10,19,T,,,67,46,56,0,,,,,,,,,,,,
43201,1945-10-20,0,,17.77777778,5.555555556,11.66666667,0,,45,10,20,0,,,64,42,53,0,,,,,,,,,,,,
43201,1945-10-21,0,,20,7.222222222,13.33333333,0,,45,10,21,0,,,68,45,56,0,,,,,,,,,,,,
43201,1945-10-22,0,,18.33333333,5.555555556,14.44444444,0,,45,10,22,0,,,65,42,58,0,,,,,,,,,,,,
43201,1945-10-23,0,,18.33333333,6.111111111,12.22222222,0,,45,10,23,0,,,65,43,54,0,,,,,,,,,,,,
43201,1945-10-24,0,,13.33333333,3.888888889,8.888888889,0,,45,10,24,0,,,56,39,48,0,,,,,,,,,,,,
43201,1945-10-25,0,,14.44444444,0,7.222222222,0,,45,10,25,0,,,58,32,45,0,,,,,,,,,,,,
43201,1945-10-26,0,,15.55555556,0,7.777777778,0,,45,10,26,0,,,60,32,46,0,,,,,,,,,,,,
43201,1945-10-27,0,,19.44444444,2.777777778,11.11111111,0,,45,10,27,0,,,67,37,52,0,,,,,,,,,,,,
43201,1945-10-28,0,,20.55555556,4.444444444,12.22222222,0,,45,10,28,0,,,69,40,54,0,,,,,,,,,,,,
43201,1945-10-29,0,,20.55555556,5,12.77777778,0,,45,10,29,0,,,69,41,55,0,,,,,,,,,,,,
43201,1945-10-30,T,,20.55555556,8.333333333,14.44444444,0,1,45,10,30,T,,,69,47,58,0,,,,,,,,,,,,
43201,1945-10-31,5.08,,16.66666667,8.888888889,12.77777778,0,1,45,10,31,0.2,,,62,48,55,0,,,,,,,,,,,,
43201,1945-11-01,T,,15,2.222222222,8.888888889,0,1,45,11,1,T,,,59,36,48,0,,,,,,,,,,,,
43201,1945-11-02,0,,12.77777778,2.777777778,7.777777778,0,,45,11,2,0,,,55,37,46,0,,,,,,,,,,,,
43201,1945-11-03,0,,13.33333333,2.777777778,7.777777778,0,,45,11,3,0,,,56,37,46,0,,,,,,,,,,,,
43201,1945-11-04,T,,18.33333333,5,11.66666667,0,1,45,11,4,T,,,65,41,53,0,,,,,,,,,,,,
43201,1945-11-05,0,,19.44444444,11.11111111,15.55555556,0,,45,11,5,0,,,67,52,60,0,,,,,,,,,,,,
43201,1945-11-06,0,,14.44444444,7.222222222,11.11111111,0,,45,11,6,0,,,58,45,52,0,,,,,,,,,,,,
43201,1945-11-07,0,,13.33333333,1.111111111,7.222222222,0,,45,11,7,0,,,56,34,45,0,,,,,,,,,,,,
43201,1945-11-08,0,,13.33333333,-0.555555556,6.666666667,0,,45,11,8,0,,,56,31,44,0,,,,,,,,,,,,
43201,1945-11-09,T,,15,7.222222222,11.11111111,0,1,45,11,9,T,,,59,45,52,0,,,,,,,,,,,,
43201,1945-11-10,2.794,,15.55555556,11.11111111,13.33333333,0,1,45,11,10,0.11,,,60,52,56,0,,,,,,,,,,,,
43201,1945-11-11,2.032,,11.66666667,1.111111111,6.666666667,0,1,45,11,11,0.08,,,53,34,44,0,,,,,,,,,,,,
43201,1945-11-12,0,,12.77777778,-1.666666667,5.555555556,0,,45,11,12,0,,,55,29,42,0,,,,,,,,,,,,
43201,1945-11-13,0,,15.55555556,0,7.777777778,0,,45,11,13,0,,,60,32,46,0,,,,,,,,,,,,
43201,1945-11-14,T,,12.22222222,6.666666667,9.444444444,0,1,45,11,14,T,,,54,44,49,0,,,,,,,,,,,,
43201,1945-11-15,T,,12.22222222,5.555555556,8.888888889,0,1,45,11,15,T,,,54,42,48,0,,,,,,,,,,,,
43201,1945-11-16,0,,12.77777778,3.333333333,8.333333333,0,,45,11,16,0,,,55,38,47,0,,,,,,,,,,,,
43201,1945-11-17,0,,12.77777778,2.222222222,7.777777778,0,,45,11,17,0,,,55,36,46,0,,,,,,,,,,,,
43201,1945-11-18,0,,13.33333333,-1.666666667,6.111111111,0,,45,11,18,0,,,56,29,43,0,,,,,,,,,,,,
43201,1945-11-19,0,,14.44444444,2.222222222,8.333333333,0,,45,11,19,0,,,58,36,47,0,,,,,,,,,,,,
43201,1945-11-20,0.254,,15.55555556,7.777777778,11.66666667,0,1,45,11,20,0.01,,,60,46,53,0,,,,,,,,,,,,
43201,1945-11-21,T,,16.11111111,8.888888889,12.77777778,0,1,45,11,21,T,,,61,48,55,0,,,,,,,,,,,,
43201,1945-11-22,0,,11.11111111,1.111111111,6.111111111,0,,45,11,22,0,,,52,34,43,0,,,,,,,,,,,,
43201,1945-11-23,0,,12.22222222,-2.222222222,5,0,,45,11,23,0,,,54,28,41,0,,,,,,,,,,,,
43201,1945-11-24,0,,12.22222222,1.666666667,7.222222222,0,,45,11,24,0,,,54,35,45,0,,,,,,,,,,,,
43201,1945-11-25,0,,13.33333333,4.444444444,8.888888889,0,,45,11,25,0,,,56,40,48,0,,,,,,,,,,,,
43201,1945-11-26,0,,15.55555556,-0.555555556,7.777777778,0,,45,11,26,0,,,60,31,46,0,,,,,,,,,,,,
43201,1945-11-27,0,,11.11111111,1.111111111,6.111111111,0,,45,11,27,0,,,52,34,43,0,,,,,,,,,,,,
43201,1945-11-28,0,,9.444444444,-2.222222222,3.888888889,0,,45,11,28,0,,,49,28,39,0,,,,,,,,,,,,
43201,1945-11-29,0,,7.222222222,-1.111111111,3.333333333,0,,45,11,29,0,,,45,30,38,0,,,,,,,,,,,,
43201,1945-11-30,0,,2.222222222,-3.888888889,-0.555555556,0,,45,11,30,0,,,36,25,31,0,,,,,,,,,,,,
43201,1945-12-01,0.762,,0.555555556,-7.777777778,-3.333333333,7.62,1,45,12,1,0.03,,,33,18,26,0.3,,,,,,,,,,,,
43201,1945-12-02,1.524,,2.222222222,-7.222222222,-2.222222222,15.24,1,45,12,2,0.06,,,36,19,28,0.6,,,,,,,,,,,,
43201,1945-12-03,2.032,,9.444444444,-0.555555556,4.444444444,2.54,1,45,12,3,0.08,,,49,31,40,0.1,,,,,,,,,,,,
43201,1945-12-04,0,,3.333333333,-2.222222222,0.555555556,0,,45,12,4,0,,,38,28,33,0,,,,,,,,,,,,
43201,1945-12-05,0.762,,10,-2.222222222,3.888888889,,1,45,12,5,0.03,,,50,28,39,,,,,,,,,,,,,
43201,1945-12-06,0,,12.77777778,5.555555556,8.888888889,0,,45,12,6,0,,,55,42,48,0,,,,,,,,,,,,
43201,1945-12-07,4.318,,11.66666667,2.222222222,6.666666667,0,1,45,12,7,0.17,,,53,36,44,0,,,,,,,,,,,,
43201,1945-12-08,0,,1.666666667,-3.333333333,-1.111111111,0,,45,12,8,0,,,35,26,30,0,,,,,,,,,,,,
43201,1945-12-09,T,,1.111111111,-6.666666667,-2.777777778,0,1,45,12,9,T,,,34,20,27,0,,,,,,,,,,,,
43201,1945-12-10,T,,4.444444444,-4.444444444,0,,1,45,12,10,T,,,40,24,32,,,,,,,,,,,,,
43201,1945-12-11,T,,6.111111111,-8.333333333,-1.111111111,,1,45,12,11,T,,,43,17,30,,,,,,,,,,,,,
43201,1945-12-12,0,,3.333333333,-8.888888889,-2.777777778,0,,45,12,12,0,,,38,16,27,0,,,,,,,,,,,,
43201,1945-12-13,13.97,,8.888888889,1.111111111,5,0,1,45,12,13,0.55,,,48,34,41,0,,,,,,,,,,,,
43201,1945-12-14,0,,3.333333333,-1.111111111,1.111111111,0,,45,12,14,0,,,38,30,34,0,,,,,,,,,,,,
43201,1945-12-15,0,,7.777777778,-3.888888889,1.666666667,0,,45,12,15,0,,,46,25,35,0,,,,,,,,,,,,
43201,1945-12-16,2.032,,6.666666667,0,3.333333333,0,1,45,12,16,0.08,,,44,32,38,0,,,,,,,,,,,,
43201,1945-12-17,0,,0.555555556,-9.444444444,-4.444444444,0,,45,12,17,0,,,33,15,24,0,,,,,,,,,,,,
43201,1945-12-18,0,,-5,-11.11111111,-7.777777778,0,,45,12,18,0,,,23,12,18,0,,,,,,,,,,,,
43201,1945-12-19,0,,0.555555556,-8.888888889,-3.888888889,0,,45,12,19,0,,,33,16,25,0,,,,,,,,,,,,
43201,1945-12-20,0,,4.444444444,-1.666666667,1.111111111,0,,45,12,20,0,,,40,29,34,0,,,,,,,,,,,,
43201,1945-12-21,0,,2.222222222,-3.888888889,-1.111111111,0,,45,12,21,0,,,36,25,30,0,,,,,,,,,,,,
43201,1945-12-22,0,,1.111111111,-6.666666667,-2.777777778,0,,45,12,22,0,,,34,20,27,0,,,,,,,,,,,,
43201,1945-12-23,0,,-1.666666667,-8.333333333,-5,0,,45,12,23,0,,,29,17,23,0,,,,,,,,,,,,
43201,1945-12-24,0,,2.222222222,-8.888888889,-3.333333333,0,,45,12,24,0,,,36,16,26,0,,,,,,,,,,,,
43201,1945-12-25,0,,0,-10,-5,0,,45,12,25,0,,,32,14,23,0,,,,,,,,,,,,
43201,1945-12-26,0,,6.666666667,-5,1.111111111,0,,45,12,26,0,,,44,23,34,0,,,,,,,,,,,,
43201,1945-12-27,2.286,,3.333333333,-5.555555556,-1.111111111,5.08,1,45,12,27,0.09,,,38,22,30,0.2,,,,,,,,,,,,
43201,1945-12-28,0,,-6.111111111,-11.66666667,-8.888888889,0,,45,12,28,0,,,21,11,16,0,,,,,,,,,,,,
43201,1945-12-29,0,,-7.222222222,-13.88888889,-10.55555556,0,,45,12,29,0,,,19,7,13,0,,,,,,,,,,,,
43201,1945-12-30,T,,-4.444444444,-11.66666667,-7.777777778,7.62,1,45,12,30,T,,,24,11,18,0.3,,,,,,,,,,,,
43201,1945-12-31,T,,-4.444444444,-11.66666667,-7.777777778,2.54,1,45,12,31,T,,,24,11,18,0.1,,,,,,,,,,,,
